Year,Jellyfish Sightings (1000s)
1950,0.255
1951,0.152
1952,0.144
1953,1.509
1954,2.246
1955,0.877
1956,0.161
1957,0.412
1958,0.68
1959,0.301
1960,0.365
1961,0.11
1962,2.664
1963,7.081
1964,6.26
1965,3.147
1966,0.994
1967,3.198
1968,2.345
1969,1.673
1970,59.913
1971,35.31
1972,63.64
1973,87.24
1974,5.352
1975,8.113
1976,31.081
1977,34.677
1978,50.924
1979,96.434
1980,128.997
1981,43.191
1982,38.743
1983,64.018
1984,299.034
1985,128624.326
1986,88.659
1987,634611.829
1988,2543.027
1989,87.44
1990,57.633
1991,46.95
1992,760.838
1993,176.271
1994,64.852
1995,145.161
1996,131.899
1997,533.272
1998,1126.176
1999,621.584
2000,373.369
2001,272.892
2002,76.751
2003,34.925
2004,40.416
2005,32.623
2006,25.405
2007,25.064
2008,46.497
2009,8.886
2010,8.415
2011,4.969
